Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
TXBS,Big Spring,32.2391,-101.4162,12600,525,1996,
CAST,Stockton,38.116,-121.3954,9931,74.3895,1996,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,9521,260.8493,1996,
TXMI,Midland,31.95,-102.0333,7824,126.1935,1996,
TNHI,Hiwassee,35.3655,-84.92,4946,81.082,1996,
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,3936,16.9655,1996,
FLLP,Lake Placid,27.2601,-81.3441,3000,21.4286,1996,
NMRO,Roswell,33.397,-104.3983,2578,38.9132,1996,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,2500,172.4138,1996,
TXCC,Corpus Christi,27.8334,-97.5833,2111,18.477,1996,
TXLS,La Sal Vieja,26.4849,-97.9649,1891,29.0923,1996,
TXUC,Uvalde County,29.2096,-99.7862,1529,44,1996,
FLGA,Gainesville,29.6027,-82.3127,1250,7.0922,1996,
TXBZ,Brazos Bend,29.3734,-95.6688,1184,14.0952,1996,
TXVI,Victoria,28.8723,-97.0784,851,9.0292,1996,
TXRO,Rockport,28.0669,-97.1167,740,8.8623,1996,
CACP,Carrizo Plain,35.25,-119.85,731,22.8438,1996,
NMCA,Caballo,32.953,-107.3122,718,13.6762,1996,
FLME,Melrose,29.748,-81.9929,706,11.9661,1996,
CAPV,Peace Valley,39.1982,-121.8219,654,9.0833,1996,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,596,7.2905,1996,
FLAB,Aripeka-Bayport,28.4667,-82.5833,525,9.7222,1996,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,512,4.4233,1996,
CACW,Caswell-Westley,37.6061,-121.174,503,9.2294,1996,
TXFR,Freeport,29.0172,-95.3551,495,1.2516,1996,
FLKV,Kissimmee Valley,28.2062,-81.3936,489,6,1996,
TXAR,Aransas N.W.R.,28.2333,-96.8833,448,7.8596,1996,
TXKI,Kingsville,27.4658,-97.8551,383,5.1757,1996,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,381,8.1497,1996,
FLMR,Myakka River S.P.,27.233,-82.236,333,4.625,1996,
TXAY,Armand Bayou,29.5498,-95.0489,260,2.5,1996,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,252,2.0826,1996,
NMGR,Gila River,32.9152,-108.584,234,5.5714,1996,
TXCY,Cypress Creek,29.9561,-95.89,210,4,1996,
INEC,Eagle Creek Valley,39.9269,-86.3383,200,3.0769,1996,
FLEP,East Pasco,28.3103,-82.2374,200,4.3478,1996,
ORSI,Sauvie Island,45.7562,-122.8008,198,2.3294,1996,
FLCO,Cocoa,28.3622,-80.7026,194,1.5276,1996,
INLM,Lake Monroe,39.0152,-86.3984,192,2,1996,
UTDJ,Dinosaur N.M.-Jensen,40.3698,-109.3456,148,7.4,1996,
NMAL,Albuquerque,35.1833,-106.6167,143,1.5213,1996,
FLLW,Lake Wales,27.8939,-81.5189,134,0.7657,1996,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,110,0.7885,1996,
TXBF,Buffalo Bayou,29.7715,-95.5699,110,0.7285,1996,
FLBO,Brooksville,28.548,-82.3245,100,1.2862,1996,
MIWA,Waterloo State Recreation Area,42.3245,-84.2097,98,1.3067,1996,
FLST,Stuart,27.2121,-80.2624,95,0.4897,1996,
INSM,Spring Mill S.P.,38.7233,-86.417,82,2.7797,1996,
FLWV,West Volusia County,29.0543,-81.3039,82,1.4977,1996,
GAAB,Albany,31.4333,-84.4167,75,1.7544,1996,
KYOC,Otter Creek Park,37.9141,-86.0698,75,2.0833,1996,
TXCK,Choke Canyon,28.4913,-98.3082,72,1.3846,1996,
FLAP,Avon Park A.F. Range,27.6501,-81.3167,67,0.7746,1996,
FL0N,Jonathan Dickinson S.P.,27.0167,-80.1167,67,0.6872,1996,
TXQU,Quitaque,34.4346,-101.0739,67,2.3929,1996,
FLVE,Venice-Englewood,27.0048,-82.3793,66,0.6423,1996,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,65,1.5663,1996,
MSJC,Jackson County,30.4366,-88.7119,60,0.9677,1996,
CALS,Los Baños,37.0612,-120.8849,60,0.7407,1996,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,57,1.1515,1996,
INHM,Hanover-Madison,38.7382,-85.4706,50,2.2222,1996,
TXPA,Port Aransas,27.8502,-97.1,48,0.6,1996,
FLHC,Hamilton County,30.336,-82.7595,48,1.0213,1996,
FL0V,South Brevard County,27.8667,-80.5667,47,0.373,1996,
INMT,Muscatatuck N.W.R.,38.9594,-85.7983,43,0.86,1996,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,41,1.0123,1996,
FLFP,Fort Pierce,27.4177,-80.3828,35,0.3704,1996,
FLLA,Lakeland,28.0261,-81.8507,35,0.3084,1996,
FLSR,Sarasota,27.2841,-82.4976,33,0.3,1996,
NMSE,Sevilleta N.W.R.,34.3167,-106.95,29,1.3034,1996,
ININ,Indianapolis,39.8694,-86.0389,28,0.2545,1996,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,27,0.3303,1996,
NMLC,Las Cruces,32.3,-106.7167,27,0.2951,1996,
FLWR,Wekiva River,28.7863,-81.3679,26,0.2889,1996,
FLEM,Emeralda-Sunnyhill,28.85,-81.8501,25,0.4348,1996,
FLEC,Econlockhatchee,28.7094,-81.1467,24,0.1928,1996,
TNCH,Chattanooga,35.104,-85.2292,24,0.2735,1996,
FLPR,Peace River,26.9243,-82.0474,24,0.5161,1996,
CACO,Chico,39.722,-121.8238,20,0.3604,1996,
TXGA,Galveston,29.3333,-94.8333,20,0.1732,1996,
FLPI,Ponce Inlet,29.0623,-81.0073,17,0.2437,1996,
AZGR,Gila River,33.3071,-112.6833,16,0.1072,1996,
FLNP,North Pinellas,28.0672,-82.7388,14,0.1,1996,
AZPO,Portal,31.9009,-109.1364,13,0.0992,1996,
TXCT,Coastal Tip,26.0278,-97.2334,13,0.4952,1996,
TXCS,College Station,30.593,-96.3175,13,0.1354,1996,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,11,0.1014,1996,
FLTA,Tampa,28.0107,-82.4595,11,0.1443,1996,
FLVB,Vero Beach,27.6667,-80.4167,10,0.1124,1996,
FLBA,Bradenton,27.501,-82.5631,10,0.1143,1996,
ALGS,Gulf Shores,30.3167,-87.6333,9,0.0592,1996,
OKSP,Salt Plains N.W.R.,36.785,-98.1789,8,0.2078,1996,
TXOR,Old River,29.8776,-94.7263,8,0.0973,1996,
MXRE,"Rancho el Palomino, Chihuahua, Mexico",29.5823,-106.2827,6,0.2308,1996,
OHOS,O'Shaughnessy Reservoir,40.2167,-83.2167,4,0.0976,1996,
MIDO,Dowagiac,41.9667,-86.0833,4,0.1379,1996,
KSQU,Quivira N.W.R.,38.15,-98.4833,4,0.1481,1996,
OHWO,Wooster,40.7464,-82.0189,3,0.0759,1996,
GASC,St. Catherines Island,31.6351,-81.1226,3,0.0341,1996,
TXCP,Chaparral W.M.A.,28.3609,-99.3429,3,0.0462,1996,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,2,0.0121,1996,
FLRP,Royal Palm-Homestead,25.4333,-80.5,2,0.0678,1996,
UTPR,Provo,40.2526,-111.6688,2,0.0166,1996,
MOCO,Columbia,38.8915,-92.3348,2,0.015,1996,
TXBL,Buffalo Lake N.W.R.,34.9187,-102.0428,2,0.1176,1996,
FLCR,Crystal River,28.8712,-82.5776,2,0.0255,1996,
LAPP,Pine Prairie,30.7643,-92.3765,1,0.0123,1996,
TXPM,Palmetto S.P.,29.5833,-97.5833,1,0.0154,1996,
MS09,Noxubee N.W.R.,33.2833,-88.7833,1,0.0124,1996,
GADA,Dalton,34.7667,-84.9667,1,0.1111,1996,
MOSC,Loess Bluffs (formerly Squaw Creek) N.W.R.,40.0833,-95.2667,1,0.0385,1996,
OKSE,Sequoyah,34.4985,-94.9695,1,0.032,1996,
COGJ,Grand Junction,39.1208,-108.6081,1,0.0077,1996,
CASH,Salton Sea (north),33.5179,-116.1031,1,0.0128,1996,
OKWA,Washita N.W.R.,35.6495,-99.2797,1,0.0167,1996,
TXBU,Bell County,30.9667,-97.45,1,0.0313,1996,
NMPM,Peloncillo Mountains,31.7434,-108.9236,1,0.0104,1996,
KYLO,Louisville,38.2929,-85.6284,cw,0,1996,
INJC,Johnson County,39.4103,-86.0668,cw,0,1996,
CAMO,Modoc N.W.R.,41.45,-120.5167,cw,0,1996,